sentence,sentiment,Date
70 ki dehaai ka yeh wo zamana tha jab Attaullah Esakhelvi aik cassette ki recording ka muaawza 1 lac rupees liya karte the,0,2024-01-24
"Tahum radio par songs ka muaawza inhe 60 rupey ka cheque mila, jo inho ne cash nahi karwaya aur aaj tak sambhal kar rakha hua hai",0,2024-03-09
Sirf yehi nahi bal ke radio par recording se qabal inhe audition ( Awaaz Ki Qaulity ka Imtehaan ) kea mal se bhi guzarna parha,0,2024-12-10
"Phir aahista aahista un ki singing ne tabqa ishrafia ke drawing rooms, cars ke sound systems aur video libraries mein jagah bana li",0,2024-08-04
Beron e mulk basne wale Pakistani jab Watan aate to doston aur aehbaab ki farmaiysh pori karne ke liye barhi tadaad mein in ke cassette tohfatan le kar jate,0,2024-02-17
Is tarah Europe aur Mashriq Wastee mein bhi wo Pakistan ki aik manoos aur maqbool awaaz ban gae,0,2024-06-05
1980 mein inho ne pehli martaba British ka tour kiya to wahan bhi dhoom macha di,0,2024-10-30
Diyar e ghair mein basne wale in ke songs sunn kar apno ko yaad karte to in ki aankhon se aansoo rawaa’n ho jate,0,2024-12-05
Naujawan ladke aur ladkiyan walihana raqs karte to gorey bhi be saakhti ke aalam mein in ka sath dete,0,2025-01-20
England aamad o raft ka silsila shuru hua to aik Pakistani nasaad British ladki ko dil de bethe,0,2024-11-08
Is tarah wo aaj tak sab ke Lala he hain,0,2024-07-06
Yeh aezaaz ab tak Attaullah Esakhelvi ke paas he hai ke recording aur farokht hone wale cassettes mein sab se ziyada in ki singing ke he hote hain,0,2024-08-23
Inho ne hukomat e Pakistan se tamgha e imtiaz hasil karne ke sath Malika British se life time achievement award bhi hasil kiya hai,0,2024-06-06
1994 mein in ka naam sab se ziyada audio albums recorder karane wale singer ke hawale se Guinness Book of World record mein bhi darj tha,0,2025-01-22
Torkham se Karachi tak truck drivers ka safar un ki awaaz ke sath hota hai,0,2024-05-21
"President Ayyab Khan, Mohtarma Fatima Jinnah, baaz dosri shakhsiyat ki tasaweer to beshumaar trucks ke aqbii hisson par bani nazar aati hain, Lekin Attaullah Esakhelvi mulk ke wo wahid artist hain jin se wabistegi ka izhaar buses aur trucks ke piche tasweer banwa kar bhi kiya jata hai",0,2024-10-30
She played a fantastic role in the drama serial “ Aangan Terha ” with Shakeel Siddiqui and Saleem Nasir ( Late ),0,2024-11-24
Bushra ansari received many more different prizes and awards in her life,0,2024-03-11
She received an award of Pride of performance and Women life achievement award from Benazir Bhutto,0,2024-10-13
She won the PTV award and Lux style award also,0,2024-05-04
Bushra ansari performed interesting role in the film “Abhi To Main Jawan Hon” from Geo TV,0,2024-10-16
"Yeh beyk waqt actress, singer, host, comedian and drama nigaar ke taur par pehchani jati hain",0,2024-12-24
Inka har andaaz munfarid aur har roop judagana hai,0,2024-06-03
"sanjeeda acting, comedy, parody, singing, hosting aur ab drama nigari",0,2024-06-25
Inho ne har field mein apna loha manwaya hai,0,2025-01-01
Jis se in ki do betiyan hain,0,2025-02-17
Intehai masroof aur mashoor fankara hone ke bawajood inho ne aik biwi aur maa ka role pori zimmedari se adaa kiya,0,2025-01-19
Bushra apni family se bohat ziyada attached hain aur fursat ka tamam waqt ghar walon ke sath he guzarti hain,0,2024-06-27
"Career : Bushra Ansari sirf 9 saal ki umer mein he PTV ke children music show, Kalbon ki Mala ki regular performer ban gai thin",0,2024-12-31
 To Farooq Qiaser ne inhe apne show Kalliyan ke liye muntakhib kiya,0,2024-12-24
Is ke ilawa wo show ke deegar roles ke liye bhi songs gaya karti thin,0,2024-11-15
"Bunyadi taur par yeh bahon ka show tha, lekin ise har umar ke nazreen barhe shauq se dekha karte the",0,2025-02-07
Bushra ne sab se pehle Iqbal Ansari ke aik drama mein acting ke johar dikhaey,0,2024-10-27
Lekin Bushra ko sab se ziyada shohrat Anwar Maqsood ke show Shosha se mili,0,2024-08-29
Jis mein bushra ne bijli ka role adaa kar ke meyla loot liya,0,2024-06-07
Yeh character itna popular hua ke jab kabhi Bushra Ansari kisi show ke silsile mein beyron e mulk jati to in se bijli ka character karne ki farmaiysh ki jati,0,2024-01-21
"Bushra Ansari ka aik aur aeham show Aangan Terha hai, jise Anwar Maqsood ne likha aur us mein inho ne Shakeel Siddiqui aur Saleem Nasir Marhoom ke hamrah yadgar performance di",0,2025-01-16
Comedy shows ki bat ho to sab se pehle PTV ki tareekh ke maqbool tareen show Fifty Fifty ka naam zehan mein aata hai,0,2024-11-12
is show ko maqboliyat ki bulandiyon tak pohnchane mein Jahan Ismail Tara aur Majid Jahangir ki lajawab performance ka dakhal tha to Bushra Ansari ne bhi apni parodies ke zariye is show ko kamiyab banane mein koi kasar na chori,0,2025-03-25
inho ne chehre ke tasurrat aur body language ke zariye in roles mein jaan daal di,0,2024-07-11
"Bushra Ansari ne har umer ke role adaa kiye hain, jin mein young, udherh aur old age sab he shamil hain",0,2024-11-10
"Personality : Bushra Ansari ko sirf acting mein he malka hasil nahi, bal key eh aik shandar shakhsiyat ki bhi malik hain",0,2024-04-09
Yeh guzishta 40 saal se mini screen par apni salahiyaton ke johar dikha rahi hain aur din ba din in ke har sitaron ki tadad mein izafa hota ja raha hai,0,2024-08-09
kyun ke wo janti hain ke waqt ke sath sath apne kaam mein kya tabdeeli lai ja sakti hai,0,2024-02-17
"dilchasp harkaat, dilkash personality aur khobsurat chehre ki malik Bushra Ansari har umar ke nazreen mein popular hain",0,2024-11-02
Chand maah qabal inho ne Geo TV ke show Dolly ki Aaegi Baraat mein Saima Chaudhry ka role play kar ke is serial ko mazeed dilchasp bana diya,0,2024-12-27
Yaar yeh be fitt ha.,0,2024-11-30
Ap to hero ho  . Autograph do na 😂😂,0,2024-06-11
Autograph milay ga ..zroooor milay ga,0,2024-10-29
hahahaha ye acha hai :P,0,2024-11-07
Apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr 😒😊,0,2024-11-07
HAahah...han zroor....yar mjhe acha lgta jb yeh ese post krte,0,2024-10-07
Hahahaa...qasmay dil ki awaz h meri ye page :-D,0,2025-02-22
aala :D :D,0,2024-09-05
app k dil ki bhi. :),0,2024-03-18
buht achi bat kahi he,0,2024-09-16
uff yeh apki paakbaaz soch :'),0,2025-01-08
Cara Jvd bilkul aisa hi kuch main apko b kehna chahti hn :D,0,2024-01-12
Hahaha wah saen wah 😂😂😂,0,2024-08-04
Baari ap to famous ho gai hain ♥,0,2024-07-27
Hahaha... ye time ni nikal skta... u r too demanding girl,0,2024-01-03
Khushi se hori hy itne likes dekh k,0,2024-01-27
Ufff dono kis trha parri hain :D:D chalo na krwao :p,0,2024-07-25
Akhir student kis k hnnnnn...😂😉😂,0,2024-06-30
Ji bilkul paisaaa wasooool comments,0,2025-02-08
aap tau millionaire ban jaen gee,0,2024-10-04
"Pskistani jawano, lagatay raho imran khan k doz. aik din number one per aa jAo gay
Tabdeeli",0,2024-11-12
Hahaha  tum to hurr jaghaa famous ho <3,0,2024-04-20
caption khass ap ky liye :'D,0,2024-06-24
Saas bahu ka rishta Nawaz Sharif r mamnoon Hussain ko bhi peeche chore de 😂😂😂,0,2025-01-08
"Apnay kharchay khudd uthaa saknay wali independent aurat ko, jo bghair kisi py depend kiye aur bghair kisi ki faaltu bakwaas sunay, (k g mein tou boht azeem aadmi hun k o biwi, tumhara kharcha uthaa rha hun) izzat k sath zindagi guzaar rhi ho, ussay kehtay hain kaamyaab aurat.",0,2024-08-24
Meri nazr me kamyab orath wo he Jo khud mehnat or himmat kr k apna career bnaye or peso k lie kisi mrd ki mohtaj na ho.,0,2024-05-09
...talaash jaari rakhein aap aik din kamyaab aurat banein gi..😂😂😂,0,2024-11-28
Inshallah hum dono kaamyaab rhen apne naik iraadon mein😂😂😍..tune tou shiad dhond liya😂😂🤔ya abhi bhi talaash jaari😂😑,0,2024-04-04
Pta Ni Kahan hoty Hain aese kamyab mard 😁,0,2024-05-16
Hehehehehe unmarried hona chahiye bs 😁,0,2024-01-30
Oooppss to phle bolti na dash mjhe lga Meri pysri dost mere liye soch rhi hai 😂🤣 chal tu rakh Lena😁,0,2024-03-22
kamiyab aurat bnna chahti hun meri sadgi dikh mai kya chahti hun 😂😂,0,2024-12-03
Mai khud kamyab bnna chahti ho samw khwab hai hmare yad nae tme😂,0,2024-06-20
Meri jesi kamiyabiyan na karna tum log... go for a mzeed rich bitch!! ✌🏻,0,2025-03-17
mil jae ga dnt worry,0,2024-02-07
Dekho wo hum ny reject krdia na ye b kaamyabi hi hoti hai😂,0,2024-04-09
32k mn kia hoga yr xD,0,2024-09-12
Abhi 5o party shoro hoi he,0,2025-01-29
Jo wife ko apni pay k mutabiq kharcha krae wohi kamyab mard hy,0,2024-08-08
Hahaha  kal ki debate k baad kamyab aurat ka award aap ko jata hai,0,2025-02-06
Hahahaha shukria shukria,0,2024-10-03
yani hum dono kamyab hain 🤣🤣,0,2024-06-22
kyn k tu khud ek kamyab aurat hai lol apni mehnat se 🤣🤣,0,2024-10-01
mere pas kamyaab maa hai. 😂😂😂😂,0,2024-07-31
Yeh tou hai mard apni biwi ki kismat say hi kamaata hai,0,2024-04-27
Hum hun gay kamyab aik din ,0,2024-12-18
Mene dhoundh lia akhir 💃👫 😛😉♥️😍  I m lucky 😁🤫,0,2025-01-05
hum honga kamyab aiek din🙈🙈😂😂,0,2025-03-25
Allah Tallah hama b aisa hi banda da 😂😂😂😂,0,2025-02-11
hum 2no e kamyab hain 😀😀😀😀,0,2024-10-07
wo kya hai k meiny apny kharchy mukhtasir krny ka soch liya hai🤣,0,2024-11-29
hum kaamiyab hein 😉,0,2024-12-18
Jab dono khameeyab Haan tou Bari kushe ki bat ha jasy men khmeeyab mard,0,2025-03-10
Allah khair kay ga,0,2024-02-18
Alhamdulillah me kamyab aurat,0,2024-07-11
bilkul sahi kaha,0,2024-01-31
bhai app kamyab hain 😂😝,0,2024-04-13
Although ham nay apny kharchay kam kr liay han hahahahahahah,0,2024-05-09
MashaALLAH ALLAH pak sb k leay acha keray ameen,0,2024-02-14
ameen han sana no extravagence,0,2024-10-22
bt dil ko achi lgi.,0,2024-11-16
Point pe hy puray 😋,0,2024-12-21
ye hoti hai kamyabi 😂,0,2024-03-14
"Koi ni, perfectly imperfct tou mil jye ga😉",0,2024-06-12
Mil jaye ga .... Apna dhondh ln phir tmhry leay b 😉,0,2024-06-03
"Haha acha chlo koshish krna dono bhai hon, aur bara vala mra🤣",0,2024-07-17
Haha pgl choty bhaie wali zyada faidy m hoty sb set hoa va milta jithani g 😂,0,2024-11-18
"Har pal har dum azam hmara
Sb sy perfct jo vo shakhs hmara😂😂😂😂",0,2024-06-14
Lkn phr b roub tou bari ka hi hota😂,0,2024-05-31
Yr wesy mil k sb ko set kr dyn gyn 😂,0,2024-07-16
Ptq ni ab set krengy ya khud set hongy😔,0,2024-05-27
Bs sai wa swery fir uni da hostel done ay :-D,0,2024-07-30
Haha idea bura nai tha wesy chalo nxt sae 😎,0,2024-10-13
"Xactly,cup apna,spoon apna... SAKOON APNA ....😜😛",0,2024-01-07
Aisaaa hi hai...,0,2024-11-13
tere lye bday gft mil gya😉,0,2024-10-01
koi issue nai bhale mera cup use karen 🤣 beta meri bottle b har koi use karta hai,0,2024-02-24
Pyar bharta h ase,0,2024-01-07
Kiaa pata behna shareef ho,0,2024-08-05
shareef hi hai,0,2024-12-01
tm dost ho yar keh skti ho,0,2024-07-30
me idhr b aisi hun apko islamabad ka shak pra rehta🤣,0,2024-06-28
Alhumdulilah ghalazat to nhi hai 😈😯👊👊👊👊👊,0,2024-03-01
hahahhaahaha me to kahin sa b maesna ni lgta .tumhain pta ni kaisay lgta,0,2024-02-04
Hahah hum bi apko sharif hi smjta han jnb,0,2024-02-19
Haha Haha haye mei war jaon🤣🤣🤣,0,2025-03-14
tm mere kch kehne se pehle he smjh jatay ho sb,0,2024-02-23
Woh to MASHA'ALLAH se meri qabliat Hai.. ,0,2024-04-13
Aur masoomiyat bhi ,0,2024-12-12
ye apke liye likha gaya hai ... area per square eench :P,0,2025-01-22
Bhai main ek shareef insan hon :-P,0,2024-01-27
yd h aik mohtrma hua krti ti shareeef tareeen bibi 😂😂😂,0,2024-06-30
Haha...mtlb main shareef nazar aati hun...😜😁,0,2025-01-05
Wyse main shareef hun b...😂😉,0,2024-03-19
no galazaat,0,2024-06-15
Wo to shukar hy aesi technology ai nh abhi😂😂,0,2025-02-04
shreef bcha,0,2024-12-27
hn hn bohot shreef,0,2024-11-06
Bolti rahu but ma messani ni,0,2025-03-24
bht saaaf or shareeef hun koi ghalazat nai 😂,0,2024-07-18
wah wah kia soch pyi hy shahneez😂,0,2024-03-22
dair aye pr drust aye 😂😂,0,2024-09-05
hi rabi tu kitni famous hu gai,0,2024-12-11
😀 meray shareef dost,0,2025-02-13
Hell true :-/ waday tusi sharif hunh,0,2025-01-13
Han koi shak ni,0,2024-06-29
pyari baat,0,2024-02-17
....ap k liay kuch khoobsurat batain😎🤗,0,2024-04-18
Haha dafa karo aj kal ghlazat sy door he rehta hun :-D,0,2024-12-21
Ap b shreef hain isi leye mn apko shareef lgi 😊😂😂😂😂,0,2024-04-28
Sahi Kaha😂😂,0,2024-07-06
Shabash khabeesni ..sahi boli aik dum !!,0,2024-03-12
Aur tm safai se kr jati ho 👊🏻👊🏻😒,0,2024-06-10
Saif tumhry kapry nusrat api pehan sakti hain...nhi na... tu phir...,0,2024-10-29
Moqay py choka,0,2024-02-07
Sb hi mazay k hain,0,2024-03-18
aja pilati😝😝,0,2024-10-11
Janeman sari chizaaay kehlaooo gi treat pr,0,2025-02-13
Dabba Khali is liye ho ga kyun k tum kha chuki ho gi na 😂😂😂,0,2025-03-17
Sharab pin gy wd sheesha 😂😂😂 sutty lgain gy jani sutty,0,2024-07-14
ye ly or fkr na kr hm 7 7 hain,0,2024-06-28
Peene wala bann aja.. tujhy sahi se coca cola pilaoga..,0,2024-05-25
Buri bat achhy bchchy galiyan nhi dety,0,2024-09-05
nhe tum itna taradud na kro bus aj ka mera bill tumhari taraf sa ma na sasta ma maaf kea😎,0,2025-01-31
ap mahaan ho ap india chaly jao 🤣,0,2024-08-22
anum tum kini pyari ho,0,2024-08-24
Bas bas bhan itna pyar na do samhala nae jay ga😂😂😂,0,2024-07-21
aray is se b ziada don gi ane to do😄,0,2025-02-12
Achha krti ho,0,2024-06-15
Sae kha,0,2024-08-15
Allah ka shuakr hy ye tw hum per 😂,0,2024-11-27
changi gal hy,0,2024-08-17
hum girls hn isliye judge kr skti hn but as a psychologist nhe kr sktien...ajeeb bat h😂😂 mem ko btaen gy hum kr skti hn judge bcoz we r girls😈😝,0,2024-08-24
tab main tumain btao ge na 😂 aur bhe maza ae ga,0,2024-06-14
ya ya.. they have all rights to do that with out any regret 😂,0,2024-12-07
Hahhahaha kesy hm apny points ko defend krty hy use hm BBA krny k bad bhi lawyer bn skty hy 🤣🤣🤣🤣🤣,0,2024-05-12
wo to hm bne bnaye hain 😉 😂😂,0,2024-12-01
Hehehe bs kbhi Gharoor nhi keya😂😂,0,2024-01-07
"Hahaha ap Tu bhot ""masoom"" Hain 😂😂",0,2024-12-15
Don't care :-D..judge kro hamen or saro :-\,0,2024-08-08
"our ""Aja khedeye"" is zada cute 😂😂",0,2024-08-24
Uper waly portion will always welcome them😂,0,2024-12-16
Hahaha a jaoo yahe kam best haii ab 😂😂😂,0,2024-08-15
Or check kr hamari predictions almost such b niklti then :D hahaha,0,2024-10-03
Or baray achay say Yeh kaam hum anjaam detay hain😄😂,0,2024-11-16
bs dehko urdu agye parhna :')😂😂❤,0,2025-02-26
Hehehehe wo b spcl logn koo judge kia jataa naa meshhhhiii proud to b spcl one😂😂😂😂,0,2024-08-25
Tmara pasandeedaaa kam :-D,0,2025-03-07
fav kaam hai hummara yaar.,0,2024-05-11
hmri jugjmnt kaml ki ha nw 😛😂😂😂😂,0,2024-07-02
Hahahaha bht hi enjoy karty thy hm gari me fiza k sath b ..,0,2024-12-22
O haan fiza Hahha usy kdr bhool skty hahahha,0,2024-10-23
Hahahahahahahahaha chalo chalo naiki aur pooch pooch 😂😂,0,2024-12-13
"Tu jahan mein wahan, meri aziz:')",0,2024-11-27
😂😂 men samjha ap ne likha h ao logon ko haj kratay hen lol,0,2025-01-18
behtreen hogaya 😂😂😂,0,2024-03-06
Jao ja k hajj kro,0,2024-04-18
ajao yah hmara fvrt kam ha 😁,0,2024-03-11
Hahaha hum to master hain is kaam mein 😂😂,0,2024-11-09
ajao...ajj main mood main houn,0,2024-12-26
Haa sahi gaalh aaah..,0,2025-01-25
ao un k gunah kum krty hain 😂😂😂,0,2024-08-03
Aur unhy pak krty hain😂😂,0,2024-02-01
tbi wo white lgty hain 😂😂,0,2024-02-01
Hmari tu prediction b sahe hoti hai,0,2024-08-13
fiqr na faqaa aish kr kaka,0,2024-07-13
"Jaani grand party hogi I am overexicted for your day😎😂❤
 Tu lagdi Lahore ki cause Tera Mohn chetaa hath kalay💁😂",0,2025-03-11
Hahahah hawn kh dn gii😂 tm b mera taraf sy uncle aunty ko shukriya kh do😁,0,2024-06-12
Hahahahah idea axhw h  api,0,2024-02-04
Jizroor ..... Mei apne aunty  ka dilse Shukriya Ada krti huu 😂😂😂😂,0,2025-01-09
anty ko thanksss bol...anty I love you😍 thanku so much😂,0,2024-07-15
Mera to Salam bol pair chhuuuh anti ne mjhe Jo btya tha hahahahahahahahaha,0,2024-10-16
yes of course i'm thankful to your parents namooni :* <3 <3,0,2024-04-29
aunty ka bhot bhot shukriya krdena meri trf se,0,2024-10-01
phupo ko thanks bolin meri trf sy bht bht 😂😂😂😂😂😂😂,0,2024-02-25
Uncle anti ko dill ke gahriyoen sa thanks bolna mere traf sa 😍😂😂😂,0,2024-05-15
aunty uncle ko yaad se thnku bolin meri taraf se 😉😂,0,2024-11-21
aunty k lie meri taraf se aik chummi idhr aik chummi idhr :'),0,2024-04-26
Woi naa khushaal gharanaaa hamra😂😍,0,2024-08-09
bht shukria rna m apni dil diyan gallan kisko sunato😅,0,2024-01-01
....mairi taraf sy uncle aunty ko thanks bolna,0,2024-11-28
uncle anty ko meri taraf syyyh buht buht shukriaaaa kehna 😂😂,0,2024-04-14
Hahahah ok ok Aur meri taraf say be uncle aunty ko shukriya keh Dena 😂😛,0,2024-12-23
apny apny ami abu ko mri trf sy shukria. Bl dy,0,2024-08-28
Hahahaha meri trf se b uncle aunty ka dhanaywaad😝😝,0,2024-05-18
Kancha item dia h inshort😂😂😂😂,0,2025-01-23
meri zindagi k tum anmol namonay 😝,0,2025-02-01
Hahaha dekha hamari importance 😉,0,2024-11-10
Dekh lo beta hum namono k bagair tumahara guzara bhi nahi 😉,0,2024-09-13
shukriya bht bht aapke parents ka k mujhe yeh gift diya unho ney 🎁🎁,0,2024-09-05
thank u uncle anty 😘😘 warna mai incmplte rh jati 😅😅,0,2024-12-10
shukr hy ye namoona peuda kya. Thanks to uncle aunty 😂😂😂,0,2024-08-13
By itkhtyr qahqa laga h myra😂😂😂😂 tm b bst sy opr ho,0,2024-02-23
Hahahahahahahahahahhaha haso haso wanjo kri krto😁😁,0,2024-02-25
tmahari ammi abu ka shukrea tmhari birthday pe kea tha ada mene..  ab tmhari b aari birthday unka b krungi😚😚,0,2024-09-29
apni mama ko zarur thanks keh dena from my side 😘😘😘 loveeee bohat cute ho tm,0,2024-01-26
Aunty ko bhttt bhttt shukriya kehna,0,2025-02-21
Hahahahaha bas bas is khushi Mai Kal dilpasnd ki meethai le aana,0,2024-12-25
humy  k parents ka shukriya krna chahiye,0,2024-12-06
uncle aunty ko meri trf se 21 topon ki salamiii....😂😂,0,2024-06-24
aunty ko mri trf se thanku bol dena with kissy,0,2024-08-19
Its a Great Pleasure😉😂,0,2024-03-31
mn khudhh aungi specially,0,2024-06-10
dill ki gehraion se dhanywaar 😂,0,2024-08-02
.😂 Thanks boldenA meri taraf Se,0,2024-03-29
thank u bol apne parents ko meri taraf se 😂,0,2024-10-09
Hahah wai I owe a special thankyou party to uncle n aunty then 😜,0,2024-02-05
"D ke la ma ta tag koli,BTW a big thankooo😘😘😍😂",0,2024-01-30
Beshak 😂😂 kissi or k bas ka kaam nh ya 😂😂,0,2024-06-19
Sana Butt Should i tag your mama? 😂,0,2024-08-28
tum na paida hti to kya hta mra,0,2024-09-07
mama ko zaroor thanks kahin 😂😂😂😂😂😂,0,2025-02-22
k momy daddy apka thankyu 😜😜😜,0,2024-05-02
Thank u mommy daddy 😂😂😂tu tau nawafil parh apne ami abu k liye #iykwim😆😉,0,2024-11-10
Yeah cx they deserv .... akhir koi km karnama nae kia shukrany k nafanil ada krny hi chaheay 😜,0,2024-07-19
meri taraf se bohat shukriya.. :p,0,2024-03-17
aunty specaily ap ka bht shukriya😂😂,0,2024-03-10
antiii ne bht naik kaam kiya 😅❤,0,2025-03-04
I grateful to ur parents 😂😂,0,2024-06-17
Thank you so much aunti 😁,0,2024-10-25
Main tou fakhar kar rahi hun 😂,0,2025-03-08
Alhamdulillah ❤,0,2024-04-01
mai shukar guzar hn ami abu ki :-/,0,2024-01-09
special mili hon bai mein touuu,0,2024-11-08
thankyou bolna ami baba ko 😂😂😂😂😂,0,2024-04-30
ama ko thanx kehna apni😂😜,0,2024-08-02
Still u r my buddy 😘,0,2024-03-18
", 😂 Aunty Fari ko shukria kehna 😂",0,2024-12-27
tell Aunty bauhat shukria 🤣,0,2024-04-16
Haha i love u so much meri jan,0,2024-11-05
thanks to parents,0,2025-03-06
thankew sooo mch anty 😁😁,0,2025-01-28
Hahaha .... ma zaror karu g,0,2024-04-27
Hahaha thk ha g zror krna,0,2024-03-13
😁😁👍,0,2025-03-13
phupho thanku ❤️,0,2024-03-25
thank u JAAN G 😉😜,0,2025-01-17
Uncle aunty ka shukriya ada karna :D :P,0,2025-02-28
uncle aunty shukriya karna 😂😂,0,2024-03-14
Lol same to your parents as well,0,2024-12-09
bht hi na shukari ho waisay,0,2024-10-03
hahahhaa shokhi,0,2024-04-21
Shukriya shehzadi auntie,0,2024-05-21
meri maa ko khushi honi🤣,0,2024-07-23
Anyaa ye tm.ne kha tha mjhe😂😂😂❤💋,0,2024-03-14
Lol,0,2024-03-14
aunty ko shukria kehna :D,0,2025-01-16
Okay 😂,0,2025-03-01
